date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:17:00	79/79	---MCZ	200	added ('OK')	text/plain	etag:W/%223f-5e659477d41a8%22	https://indown.io/robots.txt		(from )
20:17:00	36588/36588	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:15%20GMT	https://indown.io/	C:/My%20Web%20Sites/indown/indown.io/index.html	(from )
20:17:01	173028/173028	---M--	200	added ('OK')	text/javascript	etag:4498078949911223060	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-5491483166445963	C:/My%20Web%20Sites/indown/pagead2.googlesyndication.com/pagead/js/fcf42.txt	(from https://indown.io/)
20:17:02	3620/3620	---M--	200	added ('OK')	image/png	etag:%22e24-5e65ee3ec56e0%22	https://indown.io/new/icon/apple-icon-57x57.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-57x57.png	(from https://indown.io/)
20:17:03	3870/3870	---M--	200	added ('OK')	image/png	etag:%22f1e-5e65ee3ec56e0%22	https://indown.io/new/icon/apple-icon-60x60.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-60x60.png	(from https://indown.io/)
20:17:04	4641/4641	---M--	200	added ('OK')	image/png	etag:%221221-5e65ee3ec56e0%22	https://indown.io/new/icon/apple-icon-72x72.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-72x72.png	(from https://indown.io/)
20:17:05	4908/4908	---M--	200	added ('OK')	image/png	etag:%22132c-5e65ee3ec56e0%22	https://indown.io/new/icon/apple-icon-76x76.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-76x76.png	(from https://indown.io/)
20:17:05	8419/8419	---M--	200	added ('OK')	image/png	etag:%2220e3-5e65ee3ec4740%22	https://indown.io/new/icon/apple-icon-114x114.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-114x114.png	(from https://indown.io/)
20:17:05	9000/9000	---M--	200	added ('OK')	image/png	etag:%222328-5e65ee3ec4740%22	https://indown.io/new/icon/apple-icon-120x120.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-120x120.png	(from https://indown.io/)
20:17:05	11552/11552	---M--	200	added ('OK')	image/png	etag:%222d20-5e65ee3ec4740%22	https://indown.io/new/icon/apple-icon-144x144.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-144x144.png	(from https://indown.io/)
20:17:05	12592/12592	---M--	200	added ('OK')	image/png	etag:%223130-5e65ee3ec4740%22	https://indown.io/new/icon/apple-icon-152x152.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-152x152.png	(from https://indown.io/)
20:17:05	15941/15941	---M--	200	added ('OK')	image/png	etag:%223e45-5e65ee3ec56e0%22	https://indown.io/new/icon/apple-icon-180x180.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/apple-icon-180x180.png	(from https://indown.io/)
20:17:06	13769/13769	---M--	200	added ('OK')	image/png	etag:%2235c9-5e65ee3ec4740%22	https://indown.io/new/icon/android-icon-192x192.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/android-icon-192x192.png	(from https://indown.io/)
20:17:06	2161/2161	---M--	200	added ('OK')	image/png	etag:%22871-5e65ee3ec56e0%22	https://indown.io/new/icon/favicon-32x32.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/favicon-32x32.png	(from https://indown.io/)
20:17:06	6719/6719	---M--	200	added ('OK')	image/png	etag:%221a3f-5e65ee3ec56e0%22	https://indown.io/new/icon/favicon-96x96.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/favicon-96x96.png	(from https://indown.io/)
20:17:06	1313/1313	---M--	200	added ('OK')	image/png	etag:%22521-5e65ee3ec56e0%22	https://indown.io/new/icon/favicon-16x16.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/favicon-16x16.png	(from https://indown.io/)
20:17:07	1726/1726	---MCZ	200	added ('OK')	application/json	etag:W/%226be-5e65f46cf807b%22	https://indown.io/new/icon/manifest.json	C:/My%20Web%20Sites/indown/indown.io/new/icon/manifest.json	(from https://indown.io/)
20:17:08	154462/154462	---MCZ	200	added ('OK')	text/css	etag:W/%22334cc-5cb19594febc7-gzip%22	https://indown.io/new/css/bootstrap.css	C:/My%20Web%20Sites/indown/indown.io/new/css/bootstrap.css	(from https://indown.io/)
20:17:08	5741/5741	---MCZ	200	added ('OK')	text/css	etag:W/%22205c-5f03e6cd5da1c-gzip%22	https://indown.io/new/css/custom.css?ver=17	C:/My%20Web%20Sites/indown/indown.io/new/css/customec91.css	(from https://indown.io/)
20:17:08	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%226399bfb7-302c%22	https://indown.io/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/My%20Web%20Sites/indown/indown.io/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://indown.io/)
20:17:08	5259/5259	---M-Z	200	added ('OK')	text/css	etag:%22148b-5cb19594ffb67-gzip%22	https://indown.io/new/css/magnific-popup.min.css	C:/My%20Web%20Sites/indown/indown.io/new/css/magnific-popup.min.css	(from https://indown.io/)
20:17:09	41282/41282	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:24%20GMT	https://indown.io/ar	C:/My%20Web%20Sites/indown/indown.io/ar.html	(from https://indown.io/)
20:17:09	53806/53806	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:24%20GMT	https://indown.io/bn	C:/My%20Web%20Sites/indown/indown.io/bn.html	(from https://indown.io/)
20:17:10	35970/35970	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:25%20GMT	https://indown.io/zh	C:/My%20Web%20Sites/indown/indown.io/zh.html	(from https://indown.io/)
20:17:11	39468/39468	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:25%20GMT	https://indown.io/fr	C:/My%20Web%20Sites/indown/indown.io/fr.html	(from https://indown.io/)
20:17:11	38037/38037	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:26%20GMT	https://indown.io/de	C:/My%20Web%20Sites/indown/indown.io/de.html	(from https://indown.io/)
20:17:12	53465/53465	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:27%20GMT	https://indown.io/hi	C:/My%20Web%20Sites/indown/indown.io/hi.html	(from https://indown.io/)
20:17:13	38337/38337	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:27%20GMT	https://indown.io/hu	C:/My%20Web%20Sites/indown/indown.io/hu.html	(from https://indown.io/)
20:17:13	37203/37203	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:28%20GMT	https://indown.io/id	C:/My%20Web%20Sites/indown/indown.io/id.html	(from https://indown.io/)
20:17:14	37742/37742	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:28%20GMT	https://indown.io/it	C:/My%20Web%20Sites/indown/indown.io/it.html	(from https://indown.io/)
20:17:14	40886/40886	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:29%20GMT	https://indown.io/ja	C:/My%20Web%20Sites/indown/indown.io/ja.html	(from https://indown.io/)
20:17:15	38752/38752	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:30%20GMT	https://indown.io/ko	C:/My%20Web%20Sites/indown/indown.io/ko.html	(from https://indown.io/)
20:17:15	37935/37935	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:30%20GMT	https://indown.io/pl	C:/My%20Web%20Sites/indown/indown.io/pl.html	(from https://indown.io/)
20:17:16	37794/37794	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:31%20GMT	https://indown.io/pt	C:/My%20Web%20Sites/indown/indown.io/pt.html	(from https://indown.io/)
20:17:16	45059/45059	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:31%20GMT	https://indown.io/ru	C:/My%20Web%20Sites/indown/indown.io/ru.html	(from https://indown.io/)
20:17:17	38201/38201	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:32%20GMT	https://indown.io/es	C:/My%20Web%20Sites/indown/indown.io/es.html	(from https://indown.io/)
20:17:18	37029/37029	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:32%20GMT	https://indown.io/sw	C:/My%20Web%20Sites/indown/indown.io/sw.html	(from https://indown.io/)
20:17:18	55630/55630	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:33%20GMT	https://indown.io/te	C:/My%20Web%20Sites/indown/indown.io/te.html	(from https://indown.io/)
20:17:19	50767/50767	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:34%20GMT	https://indown.io/th	C:/My%20Web%20Sites/indown/indown.io/th.html	(from https://indown.io/)
20:17:20	37682/37682	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:34%20GMT	https://indown.io/tr	C:/My%20Web%20Sites/indown/indown.io/tr.html	(from https://indown.io/)
20:17:21	45018/45018	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:35%20GMT	https://indown.io/uk	C:/My%20Web%20Sites/indown/indown.io/uk.html	(from https://indown.io/)
20:17:21	1592/1592	---M--	200	added ('OK')	image/png	etag:%22638-5e65f9076a5f8%22	https://indown.io/new/img/logo.png	C:/My%20Web%20Sites/indown/indown.io/new/img/logo.png	(from https://indown.io/)
20:17:21	18481/18481	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:36%20GMT	https://indown.io/tiktok-downloader	C:/My%20Web%20Sites/indown/indown.io/tiktok-downloader.html	(from https://indown.io/)
20:17:22	17529/17529	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:37%20GMT	https://indown.io/pinterest-video-download	C:/My%20Web%20Sites/indown/indown.io/pinterest-video-download.html	(from https://indown.io/)
20:17:23	25314/25314	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:37%20GMT	https://indown.io/private-downloader	C:/My%20Web%20Sites/indown/indown.io/private-downloader.html	(from https://indown.io/)
20:17:23	15609/15609	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:38%20GMT	https://indown.io/advertise-with-us	C:/My%20Web%20Sites/indown/indown.io/advertise-with-us.html	(from https://indown.io/)
20:17:24	33981/33981	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:39%20GMT	https://indown.io/reels	C:/My%20Web%20Sites/indown/indown.io/reels.html	(from https://indown.io/)
20:17:25	29650/29650	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:39%20GMT	https://indown.io/photo	C:/My%20Web%20Sites/indown/indown.io/photo.html	(from https://indown.io/)
20:17:25	26093/26093	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:40%20GMT	https://indown.io/insta-dp-viewer	C:/My%20Web%20Sites/indown/indown.io/insta-dp-viewer.html	(from https://indown.io/)
20:17:26	26850/26850	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:41%20GMT	https://indown.io/insta-stories-download	C:/My%20Web%20Sites/indown/indown.io/insta-stories-download.html	(from https://indown.io/)
20:17:26	25586/25586	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:41%20GMT	https://indown.io/instagram-highlights-download	C:/My%20Web%20Sites/indown/indown.io/instagram-highlights-download.html	(from https://indown.io/)
20:17:27	51155/51155	---M--	200	added ('OK')	image/jpeg	etag:%22c7d3-5e65fab3f06c0%22	https://indown.io/new/img/Way-to-download-Instagram-Video.jpg	C:/My%20Web%20Sites/indown/indown.io/new/img/Way-to-download-Instagram-Video.jpg	(from https://indown.io/)
20:17:27	35588/35588	---M--	200	added ('OK')	image/jpeg	etag:%228b04-5cb19594ffb67%22	https://indown.io/new/img/Instagram-Video-Download-Copy-Link-Guide.jpg	C:/My%20Web%20Sites/indown/indown.io/new/img/Instagram-Video-Download-Copy-Link-Guide.jpg	(from https://indown.io/)
20:17:28	24504/24504	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:42%20GMT	https://indown.io/private-reels-download	C:/My%20Web%20Sites/indown/indown.io/private-reels-download.html	(from https://indown.io/)
20:17:28	13636/13636	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:43%20GMT	https://indown.io/about-us	C:/My%20Web%20Sites/indown/indown.io/about-us.html	(from https://indown.io/)
20:17:29	13734/13734	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:43%20GMT	https://indown.io/contact-us	C:/My%20Web%20Sites/indown/indown.io/contact-us.html	(from https://indown.io/)
20:17:29	20774/20774	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:44%20GMT	https://indown.io/privacy-policy	C:/My%20Web%20Sites/indown/indown.io/privacy-policy.html	(from https://indown.io/)
20:17:29	89501/89501	---M-Z	200	added ('OK')	text/javascript	etag:%2215d9d-5cb19595039e7-gzip%22	https://indown.io/new/js/jquery.min.js	C:/My%20Web%20Sites/indown/indown.io/new/js/jquery.min.js	(from https://indown.io/)
20:17:29	61768/61768	---M-Z	200	added ('OK')	text/javascript	etag:%22f148-5cb1959502a47-gzip%22	https://indown.io/new/js/bootstrap.min.js	C:/My%20Web%20Sites/indown/indown.io/new/js/bootstrap.min.js	(from https://indown.io/)
20:17:30	20216/20216	---M-Z	200	added ('OK')	text/javascript	etag:%224ef8-5cb19595039e7-gzip%22	https://indown.io/new/js/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/indown/indown.io/new/js/jquery.magnific-popup.min.js	(from https://indown.io/)
20:17:30	2552/2552	---MCZ	200	added ('OK')	text/javascript	etag:W/%22dfc-5d7841af67df7-gzip%22	https://indown.io/new/js/custom.js?ver=23	C:/My%20Web%20Sites/indown/indown.io/new/js/custom7e5c.js	(from https://indown.io/)
20:17:30	34430/34430	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2014:47:45%20GMT	https://indown.io/cdn-cgi/challenge-platform/h/g/scripts/alpha/invisible.js?ts=	C:/My%20Web%20Sites/indown/indown.io/cdn-cgi/challenge-platform/h/g/scripts/alpha/invisible5615.js	(from https://indown.io/)
20:17:31	37028/37028	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2014:47:45%20GMT	https://indown.io/cdn-cgi/challenge-platform/h/g/scripts/cb/invisible.js?cb=77c92c47aca36ee2	C:/My%20Web%20Sites/indown/indown.io/cdn-cgi/challenge-platform/h/g/scripts/cb/invisible8f55.js	(from https://indown.io/bn)
20:17:31	36374/36374	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2014:47:45%20GMT	https://indown.io/cdn-cgi/challenge-platform/h/g/scripts/cb/invisible.js?cb=77c92c4f993c6ee2	C:/My%20Web%20Sites/indown/indown.io/cdn-cgi/challenge-platform/h/g/scripts/cb/invisible3941.js	(from https://indown.io/fr)
20:17:32	39268/39268	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2014:47:46%20GMT	https://indown.io/cdn-cgi/challenge-platform/h/g/scripts/cb/invisible.js?cb=77c92c759df26ee2	C:/My%20Web%20Sites/indown/indown.io/cdn-cgi/challenge-platform/h/g/scripts/cb/invisiblea792.js	(from https://indown.io/ru)
20:17:32	32319/32319	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2020%20Dec%202022%2014:47:47%20GMT	https://indown.io/cdn-cgi/challenge-platform/h/g/scripts/cb/invisible.js?cb=77c92c83ac366ee2	C:/My%20Web%20Sites/indown/indown.io/cdn-cgi/challenge-platform/h/g/scripts/cb/invisiblef875.js	(from https://indown.io/th)
20:17:34	11552/11552	---M--	200	added ('OK')	image/png	etag:%222d20-5e65ee3ec56e0%22	https://indown.io/new/icon/ms-icon-144x144.png	C:/My%20Web%20Sites/indown/indown.io/new/icon/ms-icon-144x144.png	(from https://indown.io/tiktok-downloader)
20:17:34	26832/26832	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:49%20GMT	https://indown.io/private-downloader/ar	C:/My%20Web%20Sites/indown/indown.io/private-downloader/ar.html	(from https://indown.io/private-downloader)
20:17:35	31317/31317	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:50%20GMT	https://indown.io/private-downloader/bn	C:/My%20Web%20Sites/indown/indown.io/private-downloader/bn.html	(from https://indown.io/private-downloader)
20:17:36	25079/25079	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:50%20GMT	https://indown.io/private-downloader/zh	C:/My%20Web%20Sites/indown/indown.io/private-downloader/zh.html	(from https://indown.io/private-downloader)
20:17:36	26253/26253	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:51%20GMT	https://indown.io/private-downloader/fr	C:/My%20Web%20Sites/indown/indown.io/private-downloader/fr.html	(from https://indown.io/private-downloader)
20:17:37	25840/25840	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:51%20GMT	https://indown.io/private-downloader/de	C:/My%20Web%20Sites/indown/indown.io/private-downloader/de.html	(from https://indown.io/private-downloader)
20:17:37	30796/30796	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:52%20GMT	https://indown.io/private-downloader/hi	C:/My%20Web%20Sites/indown/indown.io/private-downloader/hi.html	(from https://indown.io/private-downloader)
20:17:38	25741/25741	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:53%20GMT	https://indown.io/private-downloader/hu	C:/My%20Web%20Sites/indown/indown.io/private-downloader/hu.html	(from https://indown.io/private-downloader)
20:17:39	25454/25454	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:53%20GMT	https://indown.io/private-downloader/id	C:/My%20Web%20Sites/indown/indown.io/private-downloader/id.html	(from https://indown.io/private-downloader)
20:17:39	25691/25691	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:54%20GMT	https://indown.io/private-downloader/it	C:/My%20Web%20Sites/indown/indown.io/private-downloader/it.html	(from https://indown.io/private-downloader)
20:17:40	27185/27185	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:55%20GMT	https://indown.io/private-downloader/ja	C:/My%20Web%20Sites/indown/indown.io/private-downloader/ja.html	(from https://indown.io/private-downloader)
20:17:41	26225/26225	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:55%20GMT	https://indown.io/private-downloader/ko	C:/My%20Web%20Sites/indown/indown.io/private-downloader/ko.html	(from https://indown.io/private-downloader)
20:17:41	25988/25988	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:56%20GMT	https://indown.io/private-downloader/pl	C:/My%20Web%20Sites/indown/indown.io/private-downloader/pl.html	(from https://indown.io/private-downloader)
20:17:42	25773/25773	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:56%20GMT	https://indown.io/private-downloader/pt	C:/My%20Web%20Sites/indown/indown.io/private-downloader/pt.html	(from https://indown.io/private-downloader)
20:17:42	28308/28308	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:57%20GMT	https://indown.io/private-downloader/ru	C:/My%20Web%20Sites/indown/indown.io/private-downloader/ru.html	(from https://indown.io/private-downloader)
20:17:42	25879/25879	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:57%20GMT	https://indown.io/private-downloader/es	C:/My%20Web%20Sites/indown/indown.io/private-downloader/es.html	(from https://indown.io/private-downloader)
20:17:43	25570/25570	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20Dec%202022%2014:47:58%20GMT	https://indown.io/private-downloader/sw	C:/My%20Web%20Sites/indown/indown.io/private-downloader/sw.html	(from https://indown.io/private-downloader)
